t,success,mid,pmt,pg,sub_type,hr,bank,isFailed,failure_rate
2,1,zivame,NB,PAYU,,2020-02-14 06,NB_CITI,TRUE,0.5
1,0,urbanclap,NB,PAYTM,,2020-02-14 06,NB_SYNB,TRUE,1
5,1,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 11,AIRTELMONEY,TRUE,0.8
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,THE SATARA SAHAKARI BANK LTD MUMBAI,FALSE,0
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 06,DCB,FALSE,0
3,3,fanfight,CARD,GOCASHFREE,,2020-02-14 07,SARVA HARYANA GRAMIN BANK,FALSE,0
2,1,fanfight,CARD,GOCASHFREE,,2020-02-14 09,Abhyudaya Cooperative Bank,TRUE,0.5
1,1,zivame,CARD,PAYU,,2020-02-14 09,South Indian Bank,FALSE,0
2,2,purplle.com,CARD,PAYTM,,2020-02-14 07,Abhyudaya Cooperative Bank,FALSE,0
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 02,Karur Vysya Bank,FALSE,0
1,0,urbanclap,NB,PAYTM,,2020-02-14 03,NB_CSB,TRUE,1
6,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_INDB,TRUE,1
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 02,JANATA SAHAKARI BANK LTD PUNE,FALSE,0
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 03,NB_IDFC,FALSE,0
1,0,zivame,NB,PAYU,,2020-02-14 12,NB_KARN,TRUE,1
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 09,MATTELF.C.U.,FALSE,0
4,1,fanfight,CARD,RAZORPAY,,2020-02-14 05,Karur Vysya Bank,TRUE,0.75
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,BARODA RAJASTHAN KSHETRIYA GRAMIN BANK,FALSE,0
1,0,pharmeasytech,NB,PAYU,,2020-02-14 07,NB_CUB,TRUE,1
1,1,medlife_prod,CARD,TPSL,,2020-02-14 08,Punjab and Sind Bank,FALSE,0
2,1,zivame,CARD,HDFC,,2020-02-14 08,City Union Bank,TRUE,0.5
