,pg,pmt,sub_type,bank,isFailed,anomaly_score
23,PHONEPE,WALLET,REDIRECT_WALLET_DEBIT,PHONEPE,98.10426540284361,-1
7,PAYPAL,WALLET,REDIRECT_WALLET_DEBIT,PAYPAL,96.045197740113,-1
14,PAYTM_V2,UPI,UPI_COLLECT,UPI,92.7536231884058,-1
12,PAYTM,WALLET,REDIRECT_WALLET_DEBIT,PAYTM,90.81632653061224,-1
3,FREECHARGE,WALLET,REDIRECT_WALLET_DEBIT,FREECHARGE,87.33333333333333,-1
28,RAZORPAY,WALLET,REDIRECT_WALLET_DEBIT,OLAMONEY,86.76470588235294,-1
5,MOBIKWIK,WALLET,REDIRECT_WALLET_DEBIT,MOBIKWIK,85.79545454545455,-1
4,MOBIKWIK,WALLET,DIRECT_WALLET_DEBIT,MOBIKWIK,80.48780487804879,-1
6,OLAPOSTPAID,WALLET,REDIRECT_WALLET_DEBIT,OLAPOSTPAID,77.67857142857143,-1
27,RAZORPAY,WALLET,REDIRECT_WALLET_DEBIT,MOBIKWIK,76.92307692307693,-1
0,AIRTELMONEY,WALLET,REDIRECT_WALLET_DEBIT,AIRTELMONEY,75.0,-1
25,RAZORPAY,WALLET,REDIRECT_WALLET_DEBIT,FREECHARGE,75.0,-1
1,AMAZONPAY,WALLET,REDIRECT_WALLET_DEBIT,AMAZONPAY,74.50980392156863,-1
2,FREECHARGE,WALLET,DIRECT_WALLET_DEBIT,FREECHARGE,50.0,-1
20,PAYU,WALLET,REDIRECT_WALLET_DEBIT,HDFC Bank,50.0,-1
